question,category,source
Differentiate internal versus external threats to data and explain how they can compromise data.,5,gis
Define quantization and summarize its role in analyzing raster data.,1,gis
"Differentiate among the following conceptual pairings of geographic approaches:,nomothetic vs descriptive,regional vs systemic,theoretical vs historic-institutional",0,gis
Determine the requirements necessary to obtain data precision and data accuracy.,5,gis
Identify the major bandwidth groups associated with the electro-magnetic spectrum,6,gis
Describe Fraunhofer lines and why they are useful in remote sensing of the Earth,4,gis
Evaluate the benefits and limitations of using Object-Oriented Programming (OOP) languages to establish standards of application to database modeling.,6,gis
List the different attribute data types and summarize the role they play in the digitization of images.,8,gis
Characterize when it is and when it is not necessary to perform a radiometric calibration,6,gis
Generate interactive charts and graphics using statistical and analytical tools to expand the functionality of maps.,6,gis
"Compare and contrast photogrammetry, radargrammetry, and interferometry",3,gis
"Establish standards for when on-site, off-site and near-site storage options should be used.",0,gis
Summarize how the precision of a measurement is calculated.,0,gis
Determine the appropriate arithmetic that should be performed on coordinates based on how the coordinates will be used.,0,gis
Compare/Contrast supervised and unsupervised classification.,3,gis
Evaluate the benefits and limitations of using Object-Oriented Programming (OOP) languages.,6,gis
"Compare/Contrast the following page sizes and summarize when each is used: A1, A4, C1, and E1",3,gis
"Describe the process, advantages, and disadvantages of mosaiking an image set with respect to positioning",4,gis
Establish methods for interpolating missing points and/or vertices in an image.,6,gis
"List effective variations in visual contrast (such as complementary colors, brightness, saturation, transparency, size and position).",0,gis
Characterize what constitutes Personally Identifiable Information (PII) and when PII should and should not be shared.,6,gis
Compare/Contrast the process of converting raster data to vector data.,5,gis
Characterize how different schemas are converted into a system design.,0,gis
Identify how topologic rules can verify the integrity of a dataset.,6,gis
"List common media types like computers, tablets, and smartphones, as well as file types, Joint Photographic Exerts Group (jpeg), Portable Network Graphic (png), Portable Document Format (PDF), etc. and explain considerations electronic delivery.",3,gis
Characterize what a spectral signature is and identify where the spectral signatures for common objects may be sourced.,6,gis
Define remote sensing and describe its purpsose,4,gis
List the different entities and attributes used for physical database models.,0,gis
"Define the following terms and summarize how they are used while programming: variable, array, array depth, parameter, string, single precision, double precision",3,gis
Outline the differences between continuous and discrete representations of image histograms.,6,gis
Characterize a block of pseudocode used to convert latitude and longitude in one format to another.,0,gis
"Select and apply correct use of terms for management of geospatial production, e.g., AGILE, waterfall, etc.",6,gis
Differentiate between the different types of off-site back-ups and characterize when each type should and should not be used.,3,gis
Characterize the different data modeling tools and how they are used in physical databases.,1,gis
Compare/contrast Imperial units of measurement and System International (SI) units of measurement.,3,gis
"List the abbrevations commonly used to describe aperture, film sensitivity, and time",6,gis
State the FAA conditions required for hobbyist use of un-manned aircraft,6,gis
Differentiate the concepts of trust and privacy and explain how they prevent data from being compromised.,1,gis
Determine how ordered dots should be connected.,6,gis
Describe the additional concerns needed for terrestrial image processing,4,gis
Outline orienteering/land navigation principles and how they relate to other fields of study.,6,gis
"Distinguish between different map types (such as, thematic, reference, topographic, flow, choropleth, cartograms, and image maps).",0,gis
Determine how geo-blocking can be used to improve current data encryption techniques.,1,gis
Characterize the relationship between Global Positioning System (GPS) accuracy and the time spent occupying a point.,6,gis
Classify the fundamental tables required to create and maintain topology in a relational database.,0,gis
"Select proper distribution and placement of labels, contextual information, etc.",6,gis
"Define the following major image processing steps and their associated events: Preprocessing, Image Enhancement, Image Transformation, Image Classification and Analysis",6,gis
Differentiate between common graphic limitations and equipment to include printers and screens/displays.,6,gis
Summarize Service-Oriented Architecture (SOA) and explain its role in web mapping services.,0,gis
Summarize the purpose of variable definition and why it is important when programming.,0,gis
Outline physical geography principles and how they can be used in other fields of study.,0,gis
Evaluate current methods of utilizing Not only Structure Query Language (NoSQL) when performing data searches and determine how the methods should be improved.,1,gis
Summarize why it is important to understand the Federal Geographic Data Committee (FGDC) metadata standards.,1,gis
Summarize purpose of 3D visualization and when it is appropriate to use.,0,gis
Characterize which restrictions apply when exporting encryption tools internationally.,6,gis
Summarize the relationship between image resolution and positional error for digitized features.,0,gis
Characterize how Open Geospatial Consortium (OGC) standards are applied to metadata maintenance.,6,gis
Distinguish how metadata is created for raster data.,7,gis
Differentiate between and correct for skew and tangential scale distortion,6,gis
"Summarize understanding of the limitations of media delivery like bandwidth, security, and size restrictions.",0,gis
Summarize the concept of Personally Identifiable Information (PII) and explain why it is important when considering data privacy and confidentiality.,1,gis
"Create 3D elements from data that is not inherently 3D (e.g., numerical attributes) to emphasize information.",7,gis
Explain the concept of chronology as it relates to visualization (that data can be collected over time and then animated).,7,gis
Establish standards for normalizing time when data has not been collected consistently or accurately.,7,gis
Choose to facilitate agreements that involve sharing or exchanging resources across industry or security domains to promote mutual goals and interest,6,gis
Describe the applications of remote sensing to forest disease management,4,gis
"Distinguish how to add additional functionality to web applications (widgets, etc.).",6,gis
Differentiate between different visual media types including static products and interactive products.,0,gis
Compare the advantages and disadvantages of converting raster to vector data.,1,gis
"Explain basic concepts of 3D representation (such as depth, perception, perspective and aspect).",0,gis
Summarize how contour lines can be used to interpret three dimensional (3D) objects.,0,gis
Demonstrate a basic understanding of Euclidean geometry fundamentals and use to represent the spatial component of geographic features.,6,gis
Differentiate between the various methods used to simplify complex features when digitizing images.,0,gis
Design products that visualize imagery using color while layering vector features on top in conjunction with the imagery layer.,6,gis
List the factors which effect sensor calibration and the means used to minimize their influence,0,gis
"Outline how to perform basic math operations (e.g., addition, subtraction, multiplication, division) in a spreadsheet.",6,gis
List and summarize the uses of different hardware display systems.,0,gis
Explain the purpose of a Relational DataBase Management System (RDBMS) and its impact on maintaining and sharing data.,1,gis
"Summarize what information is required to construct point, line, and polygon features.",0,gis
Characterize histogram distributions and interpret how data is distributed.,7,gis
"Explain the basic concepts and principles of REpresentational State Transfer (REST), Simple Object Access Protocol (SOAP), and Remote Procedure Call (RPC) Application Programming Interfaces (APIs), and how to use each.",0,gis
Compare/Contrast how vector data is converted to raster data.,5,gis
Define absolute scale and relative scale.,6,gis
Describe color theory,4,gis
Establish methods of interpreting and manipulating data within multivariate histograms.,7,gis
Define Digital Surface Model (DSM),6,gis
Summarize why understanding terrain is importance when using or developing a map.,0,gis
Summarize how projections and coordinate systems taken from a 3D figure translate to a 2D image.,0,gis
Summarize how to design a geospatial underpinning for a virtual or augmented reality.,0,gis
Plot a polar coordinate.,6,gis
Describe how a single sensing element works with linear mechanical motion and a flat sensor arranged as a strip,4,gis
Summarize basic statistics principles and explain how they relate to dynamic range adjustments.,0,gis
Determine how maps that use raster datasets should be assembled so that primary elements are layered appropriately.,6,gis
Provide objective of the map.,6,gis
Compare/contrast the use cases for cell shapes used in raster data.,8,gis
Differentiate the requirements that should be considered when archiving data.,7,gis
"Demonstrate in-depth knowledge of data transfer from the basic to advanced level (e.g., services versus delivery).",7,gis
Categorize the different data placement options and explain how each is used in distributed databases.,1,gis
"Compare/Contrast the following methods for visually representing raster data sets:  equal interval, quartile, percentile, Jenks, and histogram normalize",8,gis
"Categorize shapes associated with entities, attributes, and their relationships in Entity-Relationship Diagrams (ERDs).",6,gis
Describe the process of edge detection,4,gis
Identify how raster data is affected when it is transformed from one coordinate system into another coordinate system.,7,gis
Define Digital Terrain Model (DTM),6,gis
Summarize what a Tessellation model is and how it is used with raster data.,1,gis
Characterize database cardinality and possible cases associated with cardinality.,6,gis
"Identify how sediment, salinity, temperature, and algae/phytoplankton effect the remote sensing of water",4,gis
"Explain why the concepts of tape backups, previous versions, and deleting unnecessary files are important when archiving data.",1,gis
"Design customized web applications for interactive maps with the use of Cascading Style Sheets (CSS), Syntactically Awesome Style Sheets (SASS), Leaner Style Sheets (LESS), and other Style Sheets.",6,gis
Describe how a DEM is made.,4,gis
Compare/Contrast filtering and tuning.,3,gis
State basic ethical principles related to remote sensing,6,gis
Compare/Contrast relative error and absolute error.,3,gis
Describe how a single sensing element works with linear mechanical motion and a sensor arranged as a ring,4,gis
Identify the various uses of histograms in digital image processing and summarize how each type of histogram is used.,0,gis
Differentiate between the various models used to store data and identify which models are appropriate for raster data.,5,gis
Differentiate between consequent risks and outcome risks about the data.,7,gis
Summarize the similarities and differences between 8-bit imagery and 24-bit imagery.,0,gis
Compare and contrast the advantages and disadvantages of multi-band film areal photography with the use of multi-band digital imaging,3,gis
"Interpret the end user’s objective for using a map (e.g., reference tool, information gathering tool, analytical tool) to determine the best way for the information to be depicted.",6,gis
Compare/contrast the main categories of error.,3,gis
Solve differential equations,6,gis
"Differentiate between the various techniques used to create advanced Application Programming Interfaces, and when it is appropriate to use each method.",0,gis
"Determine what polygon or line should be created (e.g., polygon, line) given a set of bearings and distances.",6,gis
Differentiate between the common types of graphs used in the Geospatial Intelligence (GEOINT) community and explain how each can be used in a map.,3,gis
Differentiate between a bit and a byte and explain the purpose of each.,0,gis
"Summarize the relationship between decimal degrees, degrees, minutes, and seconds.",0,gis
Characterize the objectives of applying structured analytic techniques to geospatial science.,6,gis
Interpret and apply (synthesize and integrate) information into meaningful concepts and ideas,6,gis
Demonstrate basic knowledge of mathematical coordinate planes (or the Cartesian plane).,6,gis
"Summarize the limitations of common tools and software when applied to big data (e.g., storage, data processing, etc.).",5,gis
Outline how to geospatial data is combined with other domains to create virtual visualization.,7,gis
Define image caching and summarize why it is important when working with raster data.,1,gis
"Discern how long data should be available (e.g., expiration policies) based on the type of data and its intended use.",5,gis
Select data based upon cell value.,7,gis
"Compare/Contrast various coordinate systems (e.g., cartesian, polar, etc.).",3,gis
Determine the Grid-Magnetic (G-M) angle given a declination diagram.,6,gis
Interpret how “epoch” relates to Global Positioning System (GPS).,6,gis
"Define look angle, slant range distance, and ground range distance",6,gis
"Differentiate between various algorithms related to Principal Components Transformation/Principal Components Analysis (PCT/PCA; e.g., Independent Component Analysis (ICA), Minimum/Maximum Noise Fraction (MNF)) and why they would be used.",0,gis
Design products that lead the viewer through a web interface calling attention to new information along the way.,6,gis
Identify the most effective and appropriate scale to use when digitizing features given the resolution of an image.,6,gis
"List the different types of data service (e.g., physical versus logical) and explain when each is used.",8,gis
Compare/Contrast the Köppen system’s five major climate classes.,3,gis
"Outline and define volume, velocity, and variety in relation to big data management.",7,gis
List common causes of random error and systematic error.,0,gis
Characterize different techniques for articulating and deploying open source data.,1,gis
Summarize the common database security policies and why it is important that policies change based on the ability of the institution.,0,gis
Characterize when it is appropriate to round and truncate numbers.,6,gis
Summarize how a contrast stretch is performed and what in the data would indicate that it should be performed.,8,gis
Interpret domain-specific abbreviations (or jargon).,6,gis
Define the solar constant and provide its value at the outer-most edge of the Earth's atmosphere,6,gis
Describe how an RGB pixel renders color,4,gis
Determine which projection(s) is/are appropriate for the scale and extent for a given project.,6,gis
Characterize the advantages and disadvantages of various conceptual database models.,6,gis
"Compare/contrast different methods of detecting data compromised by phishing, spoofing, and human agent activities.",8,gis
"Compare/Contrast the following terms: nearest neighbor, least squares, and cubic convolution",3,gis
Characterize a tessellation and how it is created.,6,gis
Characterize the common sources of error found in geospatial datasets.,6,gis
Construct multiple visualizations of a map so that it may be tailored to fit the needs of several different products.,0,gis
Interpret the illumination of a hillshade model while considering the effect of increasing light source angles.,6,gis
Define Geospatial Intelligence (GEOINT) and summarize some of its major principles.,0,gis
Summarize statistics principles and concepts apply them to the analysis of geometric and topologic relations.,0,gis
Differentiate which type of map would best communicate information given the type of data.,7,gis
Explain pixels and their role as the smallest unit of information in an image or map.,0,gis
List the different types of scripting languages.,0,gis
"Distinguish between various media for communicating information (printing, screen resolution and scaling objects).",6,gis
Outline the techniques of using metadata to retrieve data.,7,gis
"Evaluate current and new Structure Query Language (SQL)-based data management tools (e.g., MemSQL) and develop standards of when each tool should be used.",1,gis
"Differentiate between various representation features (e.g., legibility, figure-ground, hierarchy, and balance).",6,gis
Compare common Geospatial Intelligence (GEOINT) symbology against other general symbology and explain how and why they differ.,3,gis
Summarize how topology is used for spatial statistical analyses.,0,gis
Interpret data in a spreadsheet in order to create basic tables.,7,gis
Order the steps taken to create a mosaic from individual raster data tiles.,7,gis
Distinguish when down-sampling should and should not be used.,0,gis
Summarize how the elements and principles of cartography interact with each other.,0,gis
Define the theory of risk management and explain why it is implemented in data risk management.,7,gis
"Summarize the basic concepts of spatial statistics including Root Mean Square Error (RMSE) testing, Chi-squared testing, spatial autocorrelation, correlation vs. causation, and 2D/3D regression and correlation analysis.",0,gis
Substitute numeric values for constants to solve a polynomial,6,gis
Summarize how Entity-Relational Diagram (ERD) notation is used when developing database models.,0,gis
"Describe Planck's law with respect to spectral density, temperature, and a black body",4,gis
Design a virtual or augmented reality system with geospatial information as the base.,6,gis
"Compare and contrast bilinear interpoation, nearest neighbor, and cubic convolution",3,gis
"Explain types of interactive media (e.g., WebMaps, WebApps, Google Application-Program Interface [API], Open Source, JavaScript Maps and Clickable Standard Vector Graphics [SVGs]).",0,gis
Determine how an image should be georeferenced using least squares.,6,gis
"Define the statistical terms ""least squares"" and residual.",6,gis
List and define the means for the propagation of error.,6,gis
"Discern where an x,y point should be plotted on a graph using a polar coordinate system.",6,gis
Describe the relationship between detected intensity and output voltage,4,gis
"Describe a ""stop""",4,gis
Discern implications of depicting and implementing data visualization.,7,gis
Clearly articulates existing model assumptions.,6,gis
Distinguish the visual impact between objects and features.,6,gis
"Evaluate the different enterprise application integration tools (e.g., MuleSoft) and explain their role in data sharing.",1,gis
Describe the process of converting film to digital,4,gis
Provide a generalized description of Global Positioning System (GPS).,6,gis
Describe spectroscopy and its uses,4,gis
Differentiate the various histogram segmentation methods and how to know when each method should be used.,0,gis
Evaluate how Not only Structure Query Language (NoSQL) is utilized in big data management and determine how NoSQL can be used more effectively.,1,gis
Explain the concept and purpose of Application-Program Interfaces (APIs).,0,gis
Define random error and systematic error and summarize the relationship between the two.,0,gis
Outline the differences between how scale is communicated and how it depicted on a map.,6,gis
Summarize the relationship between scripting and programming.,0,gis
Characterize when Secure Sockets Layer (SSL) technology should and should not be used when encrypting data.,1,gis
Compare/Contrast the fundamental tables required to create and maintain topology in a relational database.,3,gis
"Explain what unwanted redundancy is, and the benefits of removing it from a table design.",6,gis
Define and list raster data compression methods.,1,gis
Compare/Contrast Type I and Type II errors and summarize how each relates to hypothesis testing.,3,gis
"Determine which of following terms should be used based on a given numeric probability: remote, highly improbable, improbable, roughly even odds, probable, highly probable, nearly certain",0,gis
Characterize how each of the Federal Geographic Data Committee (FGDC) metadata standards influence metadata maintenance.,7,gis
Summarize the concept of flow control and why it is important when programming.,0,gis
"Design new representations and approaches for applying scale to domain-specific applications (e.g., dynamic scales).",6,gis
Convert fractions to decimals and vice-versa.,6,gis
List the different types of query languages.,0,gis
Explain the difference between visually and non-visually representable logical database models.,0,gis
"Summarize basic Structure Query Language (SQL) skills including building queries, analyzing results of queries, categorization of data, and normalization of data.",5,gis
Summarize how device and network connectivity varies based on devices and location.,0,gis
Characterize the purpose of Redundant Array of Independent/Inexpensive Disks (RAID) and differentiate the different levels of RAID.,0,gis
Describe the process of signal acquisition and transduction from kinetic to potential energy,4,gis
Define angular displacement and summarize how it is calculated for a polar and cartesian coordinate system.,0,gis
"Describe the following processing techniques and their uses: spatial filtering, band ratioing, and principle components analysis",4,gis
List the different types of maps used in the Geospatial Intelligence (GEOINT) community and explain how each map is used.,3,gis
Choose to solicit constructive feedback from peers in an iterative manner,6,gis
Differentiate methods of depicting and implementing scale as a visualization concept.,6,gis
"Organize data standards organizations according to whether they govern civilian, United States Federal, United States military, or international geospatial data standards.",5,gis
"Determine ground sample distance when provided sensor size, sensing element size, focal length, and height.",6,gis
Develop and plan courses of action if appropriate,6,gis
Describe atmospheric attenuation as it relates to wavelength,4,gis
List the major steps in remote sensing,6,gis
Solve equations using exponents,6,gis
Compare/Contrast methods for estimating the complexity of data.,8,gis
Characterize how inverse distance weighting is used to interpolate data to a raster layer from point data.,5,gis
Define relative error and relative uncertainty and summarize the relationship between the two.,0,gis
Establish techniques for how artificial intelligence can be applied to big data management.,7,gis
"Compare/Contrast the following types of biases: cognitive, conformity, affinity, attribution, confirmation, implicit, halo effect, horns effect, contrast effect",3,gis
Explain the difference between visually and non-visually representable conceptual database models.,0,gis
Explain the National Spatial Data Infrastructure standards and guidelines and how they apply to data normalization.,5,gis
"Compare/Contrast the following structed analytic techniques: Venn diagramming, red team, Devil's advocate, matrices, brainstorming, starbursting, diagnostic reasoning, argument mapping, role playing, Delphi method, structured debate, force field analysis, and SWOT",3,gis
"Explain how the volatility of data (e.g., the rate of change) changes in different scenarios of big data management.",5,gis
Describe the basics of the process of human vision,4,gis
"Define which statistical methods for classification (e.g., maximum likelihood, Mahalanobis distance) should be used to produce class maps.",0,gis
Strategize with other professionals to develop innovative methods and techniques for implementing different query tools.,0,gis
"List and summarize the different laws that deal with data privacy and confidentiality (e.g., Health Insurance Portability and Accountability Act of 1996).",1,gis
"Summarize the similarities and differences between the concepts of uncertainty, precision, accuracy and scale.",0,gis
"Compare/Contrast meteorology, climatology, and geomorphology.",3,gis
Rearrange orientation of common map displays to adapt a new perspective.,6,gis
"Given appropriate values solve for transmission, absorption, and reflectance.",6,gis
Explain how to place labels close to features without interfering with other features.,0,gis
"Construct multiple, blended map types to convey the most information without sacrificing content and meaning.",0,gis
"Determine the correct application for the following spatial statistics: Geary's C, Moran's I, Getis-Ord Gi*",6,gis
Compare the advantages and disadvantages of converting raster data to vector data.,5,gis
Outline the modes of visualizing terrain-related natural and social phenomena.,6,gis
Differentiate between ethics and codes of conduct,6,gis
Describe the role of and techniques used for remote sensing in weather forecasting,6,gis
Identify how terminology is defined in the common data dictionary and explain how definitions are disseminated.,7,gis
"Distinguish the following features on a topographic map: depression, hill, glacial valley, water valley, saddle, ridge, and cliff",6,gis
Differentiate between the various methods of resampling data and explain when each method would be used.,1,gis
Describe the purpose and process of deriving elevation from visible imagery,4,gis
"Summarize the similarities and differences between georeferencing, orthorectification, and georectification of raster data.",1,gis
List common symbology used and explain their significance.,0,gis
Explain the National Spatial Data Infrastructure (NSDI) guidelines and summarize their impact on naming conventions.,1,gis
Differentiate between across-track and along-track imaging,6,gis
"Differentiate between tif, jpg, png, and similar image storage formats",6,gis
"Produce products according to the organization, industry, and/or professional standards",6,gis
List the standard film speeds from 0 to 800.,6,gis
Outline the key concepts of data flow modeling and explain their roles in database modeling.,1,gis
Relate Dmin and Dmax in film photography to its digital imagery equivalent,6,gis
Establish how to develop schemas that are simple yet fulfill requirements (principle of parsimony).,6,gis
Describe the process of using a least squares method to adjust the position of an image,4,gis
Describe the role of and techniques used for geological mapping and monitoring,6,gis
Define three-dimensional (3D) rendering.,6,gis
"Summarize the different database types (e.g., hierarchical, network, sequential, and relational) and explain how each is used.",3,gis
Differentiate situations for which repeat photography would and would not be appropriate.,6,gis
Characterize factors required for orthorectifying imagery and summarize the potential sources of error in the orthorectification process.,0,gis
"Differentiate among HH, HV, VV, and VH transmit and receive polarizations and their uses",6,gis
Outline the various methods and modes of virtually displaying geospatial data.,7,gis
Characterize between Open Geospatial Consortium (OGC) standards and how they impact interactive data visualization.,7,gis
Establish standards for when it is appropriate to merge graphs and legends together in order to depict more information on a map.,6,gis
"Connect basic math principles (e.g., averaging, creating bar graphs, discrete numbers, continuous numbers) to other fields of work such as science.",6,gis
Summarize the process performed to represent color in a 24-bit image.,0,gis
Summarize what “unprojected” map data is and how it is used in georeferencing and positioning.,1,gis
Describe phase and phase differentiation,4,gis
"Interpret how features can be digitized with respect to time (i.e., spatio-temporal representation).",6,gis
Outline proper use of empty space and features on a map.,6,gis
Identify what common acronyms and initialisms in the Geospatial Intelligence (GEOINT) community stand for and mean.,6,gis
"Explain how to create users, login roles, and group permissions.",6,gis
Describe the hydrologic cycle,4,gis
"Verify a product (i.e., static or interactive) is useable given the resolution the end user will be using (e.g., printed, cell phone, computer, projector, etc.).",6,gis
Distinguish why advocacy is used in structured analytic techniques.,0,gis
Define “least squares” and residual and summarize what information they provide.,0,gis
Characterize how topography is utilized in physical geography.,6,gis
Outline the process taken to prepare and transmit images using electro-optical sensor systems.,6,gis
Describe the process of using polarization to determine elevation,4,gis
"Summarize the role points, lines, polygons, and surfaces play in vectorization.",0,gis
"Differentiate the characteristics among authoritative-sourced data, open-sourced data, and crowd-sourced data.",2,gis
"Describe the applications of remote sensing to forestry management for commercial production purposes (speciation, size/harvest estimate, and similar)",4,gis
Design methods of creating stereoscopic Digital Elevation Models (DEM).,6,gis
Interpret and present advanced forms of imagery collected from various platforms that present features in false color.,6,gis
"List the System International (SI) and Imperial units for the following: distance, direction, velocity, voltage, luminance, illuminance, energy, and work",0,gis
"Summarize how the principles of the following topics are utilized in Geospatial Intelligence (GEOINT):,Geography,Human geography,Physical geography",0,gis
Describe the relationship between pixel depth and data size on disk,7,gis
"List common map lettering conventions (e.g., country names in all caps).",0,gis
List types of human behavior and features mapping for Geospatial Intelligence (GEOINT) purposes.,0,gis
Establish and explain the importance of ethics when dealing with data privacy and confidentiality.,7,gis
Plot an x/y point on a map.,6,gis
Characterize inverse distance weighted interpolation and how it is calculated.,6,gis
"Differentiate among K, Ka, Ku, X, C, ERS-1, ERS-2, RADARSAT, S, L, and P microwave bands and their uses",6,gis
Determine the approximate disk size given an image resolution and dimensions.,6,gis
List basic symbology and common map representations.,0,gis
Define corner reflection and its effects on image interpretation,6,gis
Describe the purpose and process of increasing azimuth resolution for microwave systems,4,gis
List the basic principles of open source/Commercial Off-The-Shelf (COTS) Geospatial Information Systems (GIS).,6,gis
Differentiate between graphic design principles that add perspective to static products to transform them in 3D products.,6,gis
Characterize the factors associated with Type I error and Type II error.,6,gis
"List three factors contributing the creation of an exposed frame of film, sometimes referred to as the exposure triangle.",6,gis
List the major plant phytochemicals and the wavelengths in which they are active,6,gis
List the different types of structured programming languages.,0,gis
Determine how multiple data sources should be synthesized in order to create a virtual display.,7,gis
"List the primary defining features of a cylindrical, conical, and azimuthal projection.",6,gis
Characterize versioning and differentiate between its potential uses in data structures and models.,7,gis
Discern when histogram matching/equalization should be performed and explain the steps needing to be performed.,0,gis
Interpret and present advanced abbreviations of text.,6,gis
Determine appropriate topology rules based on the needs of a project.,6,gis
"Differentiate between ground sample distance, pixel size, and lidar point spacing and explain how each are used.",0,gis
"List the various parallax concepts (e.g., parallax difference, Y parallax, etc.) and their purpose.",0,gis
Differentiate plain white space from less significant mapped areas.,6,gis
Categorize interactive mapping elements that may be affected by users’ network connection and/or bandwidth conditions.,6,gis
Summarize the importance visualizing data and list commonly used visualization tools.,1,gis
Identify transmission time given a file’s size and transfer rate.,6,gis
Classify how false accuracy changes based on the positioning of devices.,6,gis
Outline the relationship between the various general tables used for vector data models.,1,gis
Differentiate between the different types of user access methods.,0,gis
Choose proper industry language.,6,gis
List the primary considerations necessary to select geometry type.,6,gis
Compare and contrast placement of elements on a map in standard locations in conjunction with each other.,3,gis
"Characterize how ""hillshade"" is used in terrain and 3D analysis.",0,gis
Characterize a block of pseudocode code used to search and replace numbers.,0,gis
Summarize the concepts of Relational DataBase Management Systems (RDBMS).,0,gis
"Demonstrate basic literacy of textual elements to include Font Families, Serif vs. Sans-Serif, Bold/Underline/Italics and Font size.",6,gis
"Provide the digital pixel equivalent dimensions for a full frame, 4/3, and 4x6 photograph",6,gis
"Describe the specific atmospheric absorption effects of ozone, water vapor, and carbon dioxide",4,gis
"Summarize effective display of graph features (e.g., size and importance of a graph and relevance to a map).",0,gis
"List System International (SI) and Imperial units for the following: distance, direction, velocity, voltage, luminance, illuminance, energy, and work",0,gis
"Define the following terms: pixel, tone, contrast, digital number, dynamic range, and brightness as they relate to photography",0,gis
Establish methods for ensuring the Open Geospatial Consortium (OGC) standards  for metadata maintenance are followed.,6,gis
Compare/Contrast how to implement layer and map permissions.,3,gis
"Demonstrate communication critical thinking skills – Relate your conclusions with employers or with a group of colleagues. Communicate with others to share ideas. Work with others and communicate effectively to evaluate and develop solutions to complex problems by: asking important questions, assessment, collaboration/teamwork, explanation, expressing opinions and ideas, interpersonal, presentation, verbal communication, and written communication",6,gis
Generate useable products by utilizing advanced technical writing skills.,6,gis
Describe the role of and techniques used for remote sensing in anti-terror planning,4,gis
Characterize co-occurrence (bigram/unigram pair).,6,gis
"Summarize how the following elements are incorporated into a map: north arrow, scale, legend, sourcing, title, projection notation.",0,gis
Recall concepts and principles for normalizing data.,7,gis
"Summarize basic Structure Query Language (SQL) concepts including the purpose of SQL, how SQL functions, how to read and write SQL, and the benefits of SQL over ad-hoc queries.",0,gis
Determine an appropriate logic diagram that illustrates how to apply topology to a data model.,7,gis
"Compare the following page sizes: ISO series A, B, and C and ANSI A-E",0,gis
Compare/Contrast the five basic colors used in topographic maps.,3,gis
"Outline the similarities and differences between the following raster data sources: direct acquisition by a sensor system, scanning, interpolation, conversion from vector data, map algebra",5,gis
Specify methods on how to derive three-dimensional (3D) information from images taken from different perspectives.,0,gis
Discern the most appropriate way to turn data into a three-dimensional (3D) rendering or visualization.,7,gis
Differentiate between specular and diffuse reflection,6,gis
Differentiate between a spatial join and an attribute join.,6,gis
Compare/contrast the various stereoscopic visualization methods.,3,gis
Characterize the structure and components of a fundamental raster dataset.,6,gis
List the different types of schema languages.,0,gis
Summarize the purpose of a subroutine and why it is important when programming.,0,gis
Discern where certain Principal Components Transformation/Principal Components Analysis (PCT/PCA) output are located.,6,gis
Describe relief displacement and relate it to terrain types,4,gis
"Compare/Contrast the following trends in geographic thought:,Existentialism,Marxism,Realism,Post-modernism",3,gis
Categorize different end users and explain how they will use datasets.,0,gis
Determine the value of a variable at the end of a given snippet of code and the variable’s starting value.,6,gis
Characterize when it is and is not appropriate to use SQL for data retrieval.,7,gis
"Given Plank's Law and/or Stefan-Boltzman's Law, identify the variables and constants used",0,gis
Define resolution and image scale and summarize the role they play in collecting raster data.,1,gis
"Characterize the relationship between an object's height, shadow length, time of day, and latitude/longitude.",6,gis
Summarize the types of data services commonly used for map services/web mapping services.,8,gis
Determine requirements for precision and accuracy.,6,gis
"Compare/Contrast the inductive, deductive, and abductive reasoning.",3,gis
List the key elements required for metadata with respect to most all remote sensing products,6,gis
Summarize how entities are formed from objects and how the entities’ attributes are analyzed.,0,gis
Explain techniques for adding routing and wireless equipment.,6,gis
Discern restrictions of time enabled data and the limitations that may arise.,7,gis
Identify integer and ratio data.,7,gis
Define what it means to trace a feature and outline the steps taken to perform a trace.,6,gis
Solve univariate polynomial.,6,gis
Develop custom functions like widgets to add greater functionality to web apps.,6,gis
Compare/Contrast the different means for smoothing digitized features.,3,gis
Describe repeat photography,4,gis
"Demonstrate creativity - Critical thinking involves some level of creativity. Determine patterns in the information or design an innovative solution by: cognitive flexibility, conceptualization, curiosity, imagination, prediction, foresight making abstract connections, making inferences, and being visionary",6,gis
Summarize how symbolizing raster datasets differs from symbolizing other datasets.,0,gis
Explain how to perform impact analysis on logical database models.,0,gis
Plot coordinates in a cartesian plane,6,gis
List the different types of schema designs and explain their uses.,0,gis
Characterize the different Commercial Off-The-Shelf (COTS) Geospatial Information Systems (GISs) and explain their use in interoperability.,0,gis
Apply knowledge of best practices for symbolizing features.,6,gis
Establish standards for teaching and implementing advanced ethics principles.,6,gis
Summarize the relationship between spatial data file size and spatial resolution.,1,gis
Compare/Contrast System 1 and System 2 thinking.,3,gis
Compare/contrast methods of converting data from raster formats to vector formats and from vector formats to raster formats.,8,gis
Strategize how to improve on the current systems in place for media delivery.,6,gis
Distinguish how the scope and applicability of Intelligence Community Directive (ICD) 206 relates to the analytic process.,6,gis
Differentiate between local storage and cloud storage and explain when each should be used.,0,gis
"Compare/Contrast the following wavelengths:  x-ray, gamma ray, ultraviolet, visible, infra-red, far infra-red, microwave wavelengths using wavelength",3,gis
Categorize the major wavelength and information carrier bands associated with Global Positioning System (GPS) and describe their purpose.,4,gis
"Explain the different roles that users can have when working with data (e.g., view, publisher, administrator).",1,gis
Define probability density.,6,gis
